,Year,Player,Tm,Age,Pos,college
9811,1990.0,Mark Alarie,WSB,26.0,PF,Duke University
9812,1990.0,Steve Alford,DAL,25.0,PG,Indiana University
9813,1990.0,Randy Allen,SAC,25.0,SG,Florida State University
9814,1990.0,Greg Anderson,MIL,25.0,PF,University of Houston
9815,1990.0,Nick Anderson,ORL,22.0,SG,University of Illinois at Urbana-Champaign
9816,1990.0,Richard Anderson,CHH,29.0,PF,"University of California, Santa Barbara"
9817,1990.0,Ron Anderson,PHI,31.0,SF,"California State University, Fresno"
9818,1990.0,Willie Anderson,SAS,23.0,SG,University of Georgia
9819,1990.0,Michael Ansley,ORL,22.0,SF,University of Alabama
9820,1990.0,B.J. Armstrong,CHI,22.0,PG,University of Iowa
9821,1990.0,John Bagley,BOS,29.0,PG,Boston College
9822,1990.0,Thurl Bailey,UTA,28.0,SF,North Carolina State University
9823,1990.0,Ken Bannister,LAC,29.0,PF,Saint Augustine's College
9824,1990.0,Charles Barkley*,PHI,26.0,SF,
9825,1990.0,Dana Barros,SEA,22.0,PG,Boston College
9826,1990.0,John Battle,ATL,27.0,SG,Rutgers University
9827,1990.0,Kenny Battle,PHO,25.0,SG,University of Illinois at Urbana-Champaign
9828,1990.0,William Bedford,DET,26.0,C,University of Memphis
9829,1990.0,Benoit Benjamin,LAC,25.0,C,Creighton University
9830,1990.0,Winston Bennett,CLE,24.0,SF,University of Kentucky
9831,1990.0,Larry Bird*,BOS,33.0,SF,
9832,1990.0,Uwe Blab,TOT,27.0,C,Indiana University
9833,1990.0,Uwe Blab,GSW,27.0,C,Indiana University
9834,1990.0,Uwe Blab,SAS,27.0,C,Indiana University
9835,1990.0,Rolando Blackman,DAL,30.0,SG,Kansas State University
9836,1990.0,Mookie Blaylock,NJN,22.0,PG,University of Oklahoma
9837,1990.0,Muggsy Bogues,CHH,25.0,PG,Wake Forest University
9838,1990.0,Manute Bol,GSW,27.0,C,University of Bridgeport
9839,1990.0,Anthony Bowie,HOU,26.0,SG,University of Oklahoma
9840,1990.0,Sam Bowie,NJN,28.0,C,University of Kentucky
9841,1990.0,Adrian Branch,MIN,26.0,SF,University of Maryland
9842,1990.0,Randy Breuer,TOT,29.0,C,University of Minnesota
9843,1990.0,Randy Breuer,MIL,29.0,C,University of Minnesota
9844,1990.0,Randy Breuer,MIN,29.0,C,University of Minnesota
9845,1990.0,Frank Brickowski,SAS,30.0,C,Pennsylvania State University
9846,1990.0,Scott Brooks,PHI,24.0,PG,"University of California, Irvine"
9847,1990.0,Chucky Brown,CLE,21.0,SF,North Carolina State University
9848,1990.0,Mike Brown,UTA,26.0,C,George Washington University
9849,1990.0,Raymond Brown,UTA,24.0,PF,University of Idaho
9850,1990.0,Tony Brown,MIL,29.0,SF,University of Arkansas
9851,1990.0,Stanley Brundy,NJN,22.0,SF,DePaul University
9852,1990.0,Mark Bryant,POR,24.0,PF,Seton Hall University
9853,1990.0,Torgeir Bryn,LAC,25.0,C,Texas State University
9854,1990.0,Steve Bucknall,LAL,23.0,SG,University of North Carolina
9855,1990.0,Greg Butler,NYK,23.0,C,Stanford University
9856,1990.0,Michael Cage,SEA,28.0,C,San Diego State University
9857,1990.0,Adrian Caldwell,HOU,23.0,PF,Lamar University
9858,1990.0,Tony Campbell,MIN,27.0,SG,Ohio State University
9859,1990.0,Rick Carlisle,NJN,30.0,SG,University of Virginia
9860,1990.0,Antoine Carr,TOT,28.0,PF,Wichita State University
9861,1990.0,Antoine Carr,ATL,28.0,PF,Wichita State University
9862,1990.0,Antoine Carr,SAC,28.0,PF,Wichita State University
9863,1990.0,Joe Barry,TOT,31.0,C,
9864,1990.0,Joe Barry,NJN,31.0,C,
9865,1990.0,Joe Barry,DEN,31.0,C,
9866,1990.0,Bill Cartwright,CHI,32.0,C,University of San Francisco
9867,1990.0,Terry Catledge,ORL,26.0,PF,University of South Alabama
9868,1990.0,Tom Chambers,PHO,30.0,PF,University of Utah
9869,1990.0,Rex Chapman,CHH,22.0,SG,University of Kentucky
9870,1990.0,Maurice Cheeks,TOT,33.0,PG,West Texas A&M University
9871,1990.0,Maurice Cheeks,SAS,33.0,PG,West Texas A&M University
9872,1990.0,Maurice Cheeks,NYK,33.0,PG,West Texas A&M University
9873,1990.0,Derrick Chievous,TOT,22.0,SF,University of Missouri
9874,1990.0,Derrick Chievous,HOU,22.0,SF,University of Missouri
